"","Punto","Baetidae","Leptohyphidae","Leptophlebiidae","Heptageniidae","Isonychiidae","Caenidae","Coenagrionidae","Calopterygidae","Libellulidae","Gomphidae","Lestidae","Platystictidae","Aeshnidae","Corduliidae","Perlidae","Veliidae","Mesovellidae","Gerridae","Naucoridae","Belostomatidae","Notonectidae","Hebridae","Corydalidae","Elmidae","Staphylinidae","Gyrinidae","Scarabaeidae","Curculionidae","Psephenidae","Hydrophilidae","Chrysomelidae","Dryopidae","Ptilodactylidae","Heteroceridae","Dytiscidae","Scirtidae","Hydraenidae","Lutrochidae","Hydrochidae","Limnichidae","Chironomidae","Simuliidae","Tabanidae","Ceratopogonidae","Stratiomyidae","Tipulidae","Psychodidae","Empididae","Culicidae","Dolichopodidae","Syrphidae","Muscidae","Dixidae","Chaoboridae","Hydropsychidae","Calamoceratidae","Hydroptilidae","Leptoceridae","Helicopsychidae","Polycentropodidae","Hydrobiosidae","Philopotamidae","Limnephilidae","Odontoceridae","Glossosomatidae","Lepidostomatidae","Crambidae","Cosmopterygidae","Collembola","Pseudothelphusidae","Isopoda","Arachnida","Clitellata","Hirudinida","Gastropoda","Bivalva","Platyhelminthes","Cloru","SO4","HCO3","NO2","NH4","pH","Temp","Cond","TDS","OD"
"1","CHA_RCh_1",1,9,0,0,0,0,4,1,1,0,0,0,0,0,0,2,0,0,0,3,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,7.6,34.33,12.6,0.061,0.161,7.86,18.04,131,89.7,8.86
"2","CHA_RCh_1",59,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15,19,0,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,23,46,0,0.146,7.9,18.9,149,153.3,8.9
"3","CHA_RCh_1",106,0,0,0,0,0,2,27,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,63,0,2,1,6,0,1,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5.94,1,41,0.056,0.23,7.9,17.9,480,146.9,7.64
"4","CHA_RCh_1",1,48,0,0,0,0,25,5,12,0,0,0,0,0,0,3,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,2.67,44,33,0.016,0.17,7.64,20.6,175,109.85,7.63
"5","CHA_RCh_1",9,49,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,1,0,0,0,0,0,0,0,0,0,20,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.78,25.58,33.15,0.033,0.18,7.63,18.1,101,124.94,7.46
"6","CHA_RCh_2",9,11,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,21,0,0,0,1,1,1,3,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7.04,28,54.4,0.054,0.238,7.96,18.92,179,115.7,8.5
"7","CHA_RCh_2",2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22,72,0.0164285,0.207,7.8,19.6,168,87.2,8.6
"8","CHA_RCh_2",352,5,0,0,0,0,1,13,5,0,0,0,0,0,0,7,0,1,0,0,0,0,0,6,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,101,2,0,0,0,1,0,0,0,0,0,0,0,0,24,0,1,0,0,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7.14,39,61,0.049,0.13,8.4,18.9,571,195,7.61
"9","CHA_RCh_2",10,79,1,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,31,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,83,0.016,0.11,8.13,19.06,217,146.25,8.58
"10","CHA_RCh_2",6,15,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0,2,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,5.55,33.5,67.6,0.027,0.17,8.11,19.11,136,136.04,5.62
"11","CHA_RCh_3",0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,2,0,0,0,1,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,0,0,23,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.37,175,175,0.331,0.116,8.42,21.43,400,351,8.48
"12","CHA_RCh_3",20,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73,39.48,128,0.049,0.182,8.1,22.1,420.5,446.1,7.42
"13","CHA_RCh_3",95,81,0,0,0,0,1,0,17,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.63,210,80,0.076,0.13,8.3,23.2,1558,539.5,8.75
"14","CHA_RCh_3",29,139,0,0,0,0,2,3,2,0,0,0,0,0,0,15,1,0,0,0,0,0,2,35,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,53,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,280,171,0.02,0.09,8.25,21.81,627,442,8.15
"15","CHA_RCh_3",0,98,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,84,0,0,1,5,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,7.27,176.12,138.5,0.119,0.13,8.11,19.11,136,475.87,5.62
"16","CHA_RCh_4",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14.14,40.07,144,0.194,2.857,6,22.8,455,288.6,5.5
"17","CHA_RCh_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.03,245,247.2,0.089,22.8,7.7,27.9,937,637,0.27
"18","CHA_RCh_4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,75,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9,82,206,0.181,5.5,7.48,21.53,572,377,6.24
"19","CHA_RCh_4",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,27.36,122.36,199.07,0.154,10.38,7.68,21.96,836,434.2,1.16
"20","CHA_RCho_5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3.44,17,58,0.089,0.657,8.1,23.6,121,78,5.8
"21","CHA_RCho_5",44,9,453,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,164,0,0,0,0,0,0,0,0,0,0,0,0,103,1,0,2,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,100,1,0,60.71,69,129,0.197,0.63,7.63,26.25,607,409.5,7.45
"22","CHA_RCho_5",0,8,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,742,1,1,22.89,45,123,0.076,0.72,8.31,25.82,347,230.1,6.47
"23","CHA_RCho_5",30,1,3,0,0,0,6,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1,0,0,0,0,0,1,10,0,0,0,0,0,0,0,1,0,210,2,1,29.01,43.67,103.33,0.12,0.67,7.73,25.38,356,239.2,5.95
"24","CHA_RTi_6",122,148,13,0,0,0,3,1,33,4,0,0,0,0,0,0,0,0,0,0,0,0,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587,1,0,14,0,1,0,0,0,1,0,0,0,0,62,0,24,4,0,16,0,24,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4.62,1,58,0.036,0.27,8.11,24.09,118,80.6,7.82
"25","CHA_RTi_6",12,135,2,0,0,3,1,0,2,5,0,0,0,0,0,0,0,0,1,1,0,0,8,53,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,89,2,0,7,1,0,0,0,0,1,0,0,0,0,60,0,38,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64,5,77,0.013,0.27,7.91,24.25,119,78.65,6.3
"26","CHA_RTi_6",40,50,5,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,3,67.5,0.025,0.27,7.96,24.13,92,79.63,7.21
"27","CHA_RSJ_7",25,10,2,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,20,52,0.03,0.267,5.9,21.7,114.5,80.6,6
"28","CHA_RSJ_7",81,491,47,0,16,0,1,6,35,1,0,0,0,0,3,0,0,0,1,0,0,0,4,110,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,253,6,0,7,0,1,0,0,0,5,0,0,0,0,217,0,1,0,2,0,0,23,0,0,2,0,0,0,0,0,0,0,1,0,7,0,0,7.38,61,86,0.069,0.13,8.17,27.05,353,232.07,7.65
"29","CHA_RSJ_7",0,92,2,0,0,0,0,6,8,1,0,0,0,0,0,0,0,0,0,0,0,0,3,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.25,60,73,0.023,0.17,7.77,25.45,247,163.15,6.69
"30","CHA_RSJ_7",3,13,4,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82,47,79.5,0.046,0.19,7.97,22.64,140,158.61,7.49
"31","CHA_RCho_8",41,287,5,0,0,0,1,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,45.68,69,90.5,1.498,0.3,8.34,27.59,578,383.5,11.3
"32","CHA_RCho_8",109,322,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,637,1218,0,6,0,0,0,0,0,0,0,0,0,0,126,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,7,23,72,0.736,2.43,7.69,26.46,209,140.4,6.01
"33","CHA_RCho_8",3,89,9,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1,0,0,0,12,0,0,0,0,0,0,0,0,50,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,26.34,46,81.25,1.117,1.37,7.78,27.52,229,261.95,6.21
"34","CHA_RCho_9",193,155,69,0,0,0,5,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,107,82,0,12,4,0,0,2,0,0,0,0,0,0,466,0,135,0,2,0,0,17,0,0,0,0,2,0,0,0,0,0,7,1,43,0,0,49.25,52,106,0.158,0.27,8.02,24.7,509,338,7.14
"35","CHA_RCho_9",5,37,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,4,0,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,36,0,0,11.22,8,82,0.67,1.3,7.32,24.35,196,136.5,6.23
"36","CHA_RCho_9",33,61,15,0,0,0,8,2,0,1,0,0,0,1,0,4,0,0,0,1,0,0,1,54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,0,0,0,0,0,0,0,0,0,0,102,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,711,10,0,30.24,30,94,0.414,0.78,7.79,24.5,198,237.25,6.02
